date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-04-20,sh.600000,6.89981718,6.9167909,6.85738288,6.88284346,19143935,155238284.02,0.0652,-0.3686
2022-04-21,sh.600000,6.85738288,6.92527776,6.78100114,6.84889602,29228035,236728146.0,0.0996,-0.4932
2022-04-22,sh.600000,6.79797486,6.89133032,6.79797486,6.86586974,27612017,222997628.41,0.0941,0.2478
2022-04-25,sh.600000,6.80646172,6.8743566,6.62823766,6.63672452,53311550,426094147.76,0.1816,-3.3375
2022-04-26,sh.600000,6.65369824,6.78100114,6.61126394,6.67915882,38204259,301693697.62,0.1302,0.6394
2022-04-27,sh.600000,6.71310626,6.7470537,6.62823766,6.64521138,38688614,304687721.45,0.1318,-0.5083
2022-04-28,sh.600000,6.67067196,6.78100114,6.67067196,6.78100114,45175169,358888163.35,0.1539,2.0434
2022-04-29,sh.600000,6.77251428,6.84040916,6.67067196,6.81494858,44512846,354246099.7,0.1517,0.5006
2022-05-05,sh.600000,6.81494858,6.85738288,6.75554056,6.78100114,29133140,233186177.36,0.0993,-0.4981
2022-05-06,sh.600000,6.73856684,6.77251428,6.63672452,6.6621851,31795578,250345902.65,0.1083,-1.7522
2022-05-09,sh.600000,6.6621851,6.67067196,6.6197508,6.63672452,16035420,125476461.2,0.0546,-0.3822
2022-05-10,sh.600000,6.6197508,6.69613254,6.54336906,6.6621851,32991018,257366421.58,0.1124,0.3836
2022-05-11,sh.600000,6.65369824,6.7046194,6.62823766,6.67067196,25116815,197407269.46,0.0856,0.1274
2022-05-12,sh.600000,6.64521138,6.71310626,6.64521138,6.67915882,22352229,176091168.09,0.0762,0.1272
2022-05-13,sh.600000,6.71310626,6.8319223,6.7046194,6.8319223,37343358,298941532.93,0.1272,2.2872
2022-05-16,sh.600000,6.8319223,6.84889602,6.73007998,6.76402742,20990826,167326391.84,0.0715,-0.9938
2022-05-17,sh.600000,6.79797486,6.82343544,6.7470537,6.80646172,18714191,149733542.99,0.0638,0.6274
2022-05-18,sh.600000,6.77251428,6.79797486,6.72159312,6.7470537,19463913,154781980.2,0.0663,-0.8728
